,Date,^GSPC,000001.SS,^FTSE,^GDAXI,^HSI,^TWII,^MERV,^ISEQ,^STI,^GSPTSE,^BSESN,^FCHI,^AEX,^KS11,^BVSP,^IBEX,BSX,0322.HK,^JKSE,^SET.BK,^AXJO,^BFX,^SSMI,^OMXSBCAPPI,^N225,IMOEX.ME,^ATX,^OMXHBCAPPI,^OSEAX,^N100,^BIT40P,JSE.JO
777,2019-03-30,2867.18994140625,3170.361083984375,7317.39990234375,11681.990234375,29562.01953125,10642.6298828125,33006.8203125,6199.16015625,3250.510009765625,16228.099609375,38871.87109375,5405.52978515625,554.1400146484375,2168.280029296875,96054.0,9341.7001953125,38.65999984741211,11.239325523376465,6452.61083984375,1644.6400146484375,6217.0,3713.60009765625,9538.1103515625,607.1900024414062,21509.029296875,2521.25,3076.800048828125,185.47999572753906,988.0499877929688,1052.699951171875,2197.409912109375,12639.7958984375
778,2019-03-31,2867.18994140625,3170.361083984375,7317.39990234375,11681.990234375,29562.01953125,10642.6298828125,33006.8203125,6199.16015625,3250.510009765625,16228.099609375,38871.87109375,5405.52978515625,554.1400146484375,2168.280029296875,96054.0,9341.7001953125,38.65999984741211,11.239325523376465,6452.61083984375,1644.6400146484375,6217.0,3713.60009765625,9538.1103515625,607.1900024414062,21509.029296875,2521.25,3076.800048828125,185.47999572753906,988.0499877929688,1052.699951171875,2197.409912109375,12639.7958984375
0,2019-04-01,2867.18994140625,3170.361083984375,7317.39990234375,11681.990234375,29562.01953125,10642.6298828125,33006.8203125,6199.16015625,3250.510009765625,16228.099609375,38871.87109375,5405.52978515625,554.1400146484375,2168.280029296875,96054.0,9341.7001953125,38.65999984741211,11.239325523376465,6452.61083984375,1644.6400146484375,6217.0,3713.60009765625,9538.1103515625,607.1900024414062,21509.029296875,2521.25,3076.800048828125,185.47999572753906,988.0499877929688,1052.699951171875,2197.409912109375,12639.7958984375
1,2019-04-02,2867.239990234375,3176.822998046875,7391.10009765625,11754.7900390625,29624.669921875,10690.2998046875,33006.8203125,6202.7099609375,3279.780029296875,16263.900390625,39056.6484375,5423.47021484375,555.9400024414062,2177.179931640625,95387.0,9363.5,38.52000045776367,11.275177001953125,6476.06591796875,1651.47998046875,6242.39990234375,3736.780029296875,9536.5703125,611.8200073242188,21505.310546875,2527.77001953125,3093.550048828125,187.3800048828125,994.2999877929688,1056.9300537109375,2193.75,12581.9931640625
2,2019-04-03,2873.39990234375,3216.294921875,7418.2998046875,11954.400390625,29986.390625,10704.3798828125,31765.109375,6313.1201171875,3311.27001953125,16279.900390625,38877.12109375,5468.91015625,561.3499755859375,2203.27001953125,94491.0,9487.7998046875,38.33000183105469,11.257251739501953,6476.06591796875,1649.06005859375,6285.0,3772.699951171875,9570.08984375,621.719970703125,21713.2109375,2532.320068359375,3131.47998046875,189.99000549316406,1001.1400146484375,1065.3599853515625,2213.4599609375,12821.466796875
3,2019-04-04,2879.389892578125,3246.571044921875,7401.89990234375,11988.009765625,29936.3203125,10704.3798828125,32142.470703125,6314.9599609375,3316.2099609375,16311.599609375,38684.71875,5463.7998046875,561.5499877929688,2206.530029296875,96313.0,9534.099609375,38.15999984741211,11.364805221557617,6494.6298828125,1644.219970703125,6232.7998046875,3782.219970703125,9563.7099609375,617.3099975585938,21724.94921875,2535.5,3122.64990234375,189.8699951171875,994.1699829101562,1064.6400146484375,2210.320068359375,12822.3837890625
4,2019-04-05,2892.739990234375,3246.571044921875,7446.89990234375,12009.75,29936.3203125,10704.3798828125,32666.880859375,6383.89990234375,3322.639892578125,16396.19921875,38862.23046875,5476.2001953125,562.5800170898438,2209.610107421875,97108.0,9510.2998046875,38.15999984741211,11.364805221557617,6474.01806640625,1646.1800537109375,6181.2998046875,3805.389892578125,9541.150390625,619.6300048828125,21807.5,2540.989990234375,3154.89990234375,190.83999633789062,1000.75,1067.97998046875,2213.389892578125,12891.197265625
779,2019-04-06,2892.739990234375,3246.571044921875,7446.89990234375,12009.75,29936.3203125,10704.3798828125,32666.880859375,6383.89990234375,3322.639892578125,16396.19921875,38862.23046875,5476.2001953125,562.5800170898438,2209.610107421875,97108.0,9510.2998046875,38.15999984741211,11.364805221557617,6474.01806640625,1646.1800537109375,6181.2998046875,3805.389892578125,9541.150390625,619.6300048828125,21807.5,2540.989990234375,3154.89990234375,190.83999633789062,1000.75,1067.97998046875,2213.389892578125,12891.197265625
780,2019-04-07,2892.739990234375,3246.571044921875,7446.89990234375,12009.75,29936.3203125,10704.3798828125,32666.880859375,6383.89990234375,3322.639892578125,16396.19921875,38862.23046875,5476.2001953125,562.5800170898438,2209.610107421875,97108.0,9510.2998046875,38.15999984741211,11.364805221557617,6474.01806640625,1646.1800537109375,6181.2998046875,3805.389892578125,9541.150390625,619.6300048828125,21807.5,2540.989990234375,3154.89990234375,190.83999633789062,1000.75,1067.97998046875,2213.389892578125,12891.197265625
5,2019-04-08,2895.77001953125,3244.81005859375,7451.89990234375,11963.400390625,30077.150390625,10800.5703125,33080.87109375,6295.9599609375,3315.419921875,16407.30078125,38700.53125,5471.77978515625,562.3200073242188,2210.60009765625,97369.0,9437.7001953125,38.150001525878906,11.436507225036621,6425.73388671875,1646.1800537109375,6221.39990234375,3793.080078125,9547.330078125,619.8699951171875,21761.650390625,2560.070068359375,3110.969970703125,189.64999389648438,1010.2100219726562,1066.3199462890625,2210.969970703125,12781.095703125
